YearInv,Plot,SubPlot,Quadrat,StandardID,Species,CoorX,CoorY,TreeStatus,DBH,Notes2024
2002,2,1,1,2519,FA,3.005023357,6.5209075,AS,6,
2024,2,1,1,3001,AS,5.206079584,7.3169075,DF,,
2007,2,1,1,3001,AS,5.206079584,7.3169075,AS,4.2,
2007,2,1,1,3002,AP,9.059246854,5.4262,AL,4.1,
2007,2,1,1,3004,AS,1.798713137,6.2773825,AS,4.3,
2002,2,1,1,3186,AS,3.1,1.1,AS,26.2,"old tag lost, retagged as 3186 in May 2025"
1996,2,1,1,3186,AS,3.1,1.1,AS,25,"old tag lost, retagged as 3186 in May 2025"
2007,2,1,1,3186,AS,3.1,1.1,AS,28,"old tag lost, retagged as 3186 in May 2025"
2024,2,1,1,3186,AS,3.1,1.1,AS,33.9,"old tag lost, retagged as 3186 in May 2025"
1996,2,1,1,10002,BA,6.9,5.5,AS,10,
2007,2,1,1,10002,BA,6.9,5.5,AS,15.4,
2024,2,1,1,10002,BA,6.9,5.5,AS,18.7,
2002,2,1,1,10002,BA,6.9,5.5,AS,12.9,
2024,2,1,1,10062,FG,8.5,4.5,AS,2.9,"Added new tag 0062, duplicate within plot"
1996,2,1,2,3,AS,12.9,5.12,AS,64.6,
2024,2,1,2,3,AS,12.9,5.12,AS,72.55,
2002,2,1,2,3,AS,12.9,5.12,AS,65,
2007,2,1,2,3,AS,12.9,5.12,AS,67.1,
1996,2,1,2,4,AS,18.28,2.64,AS,35.1,
2002,2,1,2,4,AS,18.28,2.64,AS,35.5,
2007,2,1,2,4,AS,18.28,2.64,AS,36.7,
2024,2,1,2,4,AS,18.28,2.64,AS,41.3,
1996,2,1,2,893,AS,12.4,6.53,AS,5.3,neigbour to large decomposed fallen tree
2002,2,1,2,893,AS,12.4,6.53,AS,8.3,neigbour to large decomposed fallen tree
2007,2,1,2,893,AS,12.4,6.53,AS,10.3,neigbour to large decomposed fallen tree
2024,2,1,2,893,AS,12.4,6.53,AS,13.2,neigbour to large decomposed fallen tree
1996,2,1,2,895,AS,15.59079312,5.984744757,AS,5.5,
2002,2,1,2,895,AS,15.59079312,5.984744757,DB,5.5,
2007,2,1,2,895,AS,15.59079312,5.984744757,DF,,
1996,2,1,2,896,OV,14.88,3.96,AS,7.5,"meaured at 1.27 m. initially entered as 9680 in 2024, tag was read upside-down"
2024,2,1,2,896,OV,14.88,3.96,AD,9.7,"meaured at 1.27 m. initially entered as 9680 in 2024, tag was read upside-down"
2007,2,1,2,896,OV,14.88,3.96,AB,9.5,"meaured at 1.27 m. initially entered as 9680 in 2024, tag was read upside-down"
2002,2,1,2,896,OV,14.88,3.96,AB,8.5,"meaured at 1.27 m. initially entered as 9680 in 2024, tag was read upside-down"
1996,2,1,2,897,AS,18.8,7.88,AS,6,
2002,2,1,2,897,AS,18.8,7.88,AS,9.3,
2007,2,1,2,897,AS,18.8,7.88,AS,12.2,
2024,2,1,2,897,AS,18.8,7.88,AS,17.2,
1996,2,1,2,899,AS,18.8,3.7,AS,5.4,
2002,2,1,2,899,AS,18.8,3.7,AS,8,
2007,2,1,2,899,AS,18.8,3.7,AS,9.4,
2024,2,1,2,899,AS,18.8,3.7,AS,12,
1996,2,1,2,900,AS,18.77852802,3.650176082,AS,4.2,
2002,2,1,2,900,AS,18.77852802,3.650176082,AS,5.5,
2007,2,1,2,900,AS,18.77852802,3.650176082,AS,5.5,
2002,2,1,2,901,AS,19.7,1.89,AS,8,
2024,2,1,2,901,AS,19.7,1.89,AS,10.2,
2007,2,1,2,901,AS,19.7,1.89,AS,9.1,
1996,2,1,2,901,AS,19.7,1.89,AS,5.5,
2002,2,1,2,902,AS,16.34004002,0.570606771,AS,5.2,
2007,2,1,2,902,AS,16.34004002,0.570606771,DF,,
1996,2,1,2,902,AS,16.34004002,0.570606771,AS,4,
1996,2,1,2,903,AS,17.65,2.5,AS,5.7,
2002,2,1,2,903,AS,17.65,2.5,AS,9,
2007,2,1,2,903,AS,17.65,2.5,AS,10.4,
2024,2,1,2,903,AS,17.65,2.5,AS,11.4,
1996,2,1,2,904,AS,15.49007695,3.010965947,AS,5.5,
2002,2,1,2,904,AS,15.49007695,3.010965947,AS,8.4,
2007,2,1,2,904,AS,15.49007695,3.010965947,DS,,
1996,2,1,2,905,BA,11.36607512,2.415933847,AS,6.7,
2007,2,1,2,905,BA,11.36607512,2.415933847,DS,6.9,
2002,2,1,2,905,BA,11.36607512,2.415933847,AB,7.2,
2002,2,1,2,906,AS,11.8,0.82,AS,8.1,
2024,2,1,2,906,AS,11.8,0.82,AL,11.5,
2007,2,1,2,906,AS,11.8,0.82,AS,9.9,
1996,2,1,2,906,AS,11.8,0.82,AS,5.8,
1996,2,1,2,909,AP,9.720531252,4.126120717,AS,4.6,
2007,2,1,2,909,AP,9.720531252,4.126120717,DF,,
2002,2,1,2,909,AP,9.720531252,4.126120717,DB,4.6,
2007,2,1,2,2511,AP,10.08877097,5.2866625,AS,5,
2002,2,1,2,2511,AP,10.08877097,5.2866625,AL,4.5,
2002,2,1,2,2518,AP,16.9,8.51,AS,5.7,broken below breast height
2007,2,1,2,2518,AP,16.9,8.51,AS,7,broken below breast height
2024,2,1,2,2518,AP,16.9,8.51,DB,,broken below breast height
2007,2,1,2,3386,AS,,,AS,9.8,
1996,2,1,3,5,OV,12.64888764,11.33587891,AS,15.5,
2002,2,1,3,5,OV,12.64888764,11.33587891,AS,16.8,
2007,2,1,3,5,OV,12.64888764,11.33587891,DS,,
1996,2,1,3,6,AP,14.78737712,12.62808571,AS,12.7,
2002,2,1,3,6,AP,14.78737712,12.62808571,DB,11.9,
2007,2,1,3,6,AP,14.78737712,12.62808571,DB,,
1996,2,1,3,7,AP,14.09023915,13.70158403,AS,11,
2002,2,1,3,7,AP,14.09023915,13.70158403,DB,10.2,
2007,2,1,3,7,AP,14.09023915,13.70158403,DF,,
2024,2,1,3,8,AS,17.57,19.8,AS,44.8,"ID was listed as 8000 by 331 students, changed to 0008"
2007,2,1,3,8,AS,17.57,19.8,AS,43.3,"ID was listed as 8000 by 331 students, changed to 0008"
2002,2,1,3,8,AS,17.57,19.8,AS,42.4,"ID was listed as 8000 by 331 students, changed to 0008"
1996,2,1,3,8,AS,17.57,19.8,AS,42.1,"ID was listed as 8000 by 331 students, changed to 0008"
1996,2,1,3,9,AS,11.52,19.8,AS,33.9,initially entered as 6009
